courseNum,courseName,profName,1reg,1quota,2reg,2quota,3reg,3quota,4reg,4quota,exreg,exquota,totalreg,totalquota,reg,quota
BNCS301-00, 뇌및인지과학개론(영강),곽지현 BNCS301-00,0,none,1,none,22,none,9,none,4,5,36,35 + 5,32,35
BNCS303-00, 뇌및의공학입문(영강),이종환 BNCS303-00,0,none,3,none,11,none,10,none,1,5,25,35 + 5,24,35
BNCS411-00, 뇌및머신러닝입문(영강),감태의 BNCS411-00,0,none,0,none,4,none,9,none,0,3,13,22 + 3,13,22
STEP410-00, 현장실습V,이성권 STEP410-00,0,none,0,none,1,none,2,none,0,0,3,60 + 0,3,60
STEP411-00, 현장실습VI,이성권 STEP411-00,0,none,0,none,1,none,1,none,0,0,2,60 + 0,2,60
STEP412-00, 현장실습VII,이성권 STEP412-00,0,none,0,none,1,none,1,none,0,0,2,60 + 0,2,60
STEP413-00, 현장실습VIII,이성권 STEP413-00,0,none,0,none,1,none,1,none,0,0,2,60 + 0,2,60
ISEC401-00, 고급해킹실습,김경곤 ISEC401-00,0,none,0,none,4,none,13,none,0,1,17,24 + 1,17,24
COSE211-01, 이산수학(영강),박성빈 COSE211-01,0,none,21,none,56,none,44,none,7,13,128,87 + 13,121,87
COSE211-02, 이산수학(영강),박성빈 COSE211-02,16,none,63,none,10,none,6,none,4,13,99,87 + 13,95,87
COSE213-01, 자료구조,이도길 COSE213-01,10,none,56,none,18,none,11,none,2,4,97,96 + 4,95,96
COSE213-02, 자료구조(영강),석흥일 COSE213-02,21,none,33,none,17,none,10,none,12,13,93,87 + 13,81,87
COSE213-03, 자료구조,최수경 COSE213-03,2,none,2,none,0,none,3,none,0,4,7,96 + 4,7,96
COSE214-01, 알고리즘(영강),박성빈 COSE214-01,14,none,47,none,11,none,2,none,10,11,84,76 + 11,74,76
COSE214-02, 알고리즘, COSE214-02,7,none,22,none,3,none,3,none,1,4,36,96 + 4,35,96
COSE215-01, 계산이론(영강),이희조 COSE215-01,20,none,86,none,36,none,18,none,6,13,166,87 + 13,160,87
COSE221-01, 논리설계(영강),정성우 COSE221-01,15,none,61,none,12,none,5,none,0,13,93,87 + 13,93,87
COSE221-02, 논리설계,백승준 COSE221-02,11,none,39,none,22,none,9,none,1,4,82,83 + 4,81,83
COSE221-03, 논리설계,이숙윤 COSE221-03,1,none,4,none,3,none,4,none,2,4,14,96 + 4,12,96
COSE222-00, 컴퓨터구조, COSE222-00,1,none,7,none,16,none,13,none,1,4,38,96 + 4,37,96
COSE312-00, 컴파일러,오학주 COSE312-00,0,none,6,none,28,none,35,none,1,4,70,96 + 4,69,96
COSE321-00, 컴퓨터시스템설계(영강),서태원 COSE321-00,0,none,5,none,25,none,17,none,1,9,48,64 + 9,47,64
COSE331-00, 컴퓨터그래픽스,한정현 COSE331-00,0,none,18,none,83,none,51,none,3,4,155,96 + 4,152,96
COSE341-01, 운영체제,유혁 COSE341-01,1,none,17,none,106,none,24,none,5,4,153,96 + 4,148,96
COSE341-02, 운영체제,최수경 COSE341-02,0,none,3,none,6,none,6,none,0,3,15,73 + 3,15,73
COSE342-00, 컴퓨터네트워크,민성기 COSE342-00,0,none,8,none,24,none,27,none,1,4,60,96 + 4,59,96
COSE361-01, 인공지능,육동석 COSE361-01,0,none,22,none,69,none,25,none,4,4,120,96 + 4,116,96
COSE361-02, 인공지능(영강),김현우 COSE361-02,1,none,7,none,25,none,15,none,7,13,55,87 + 13,48,87
COSE363-00, 정보와정보학,김자미 COSE363-00,1,none,7,none,74,none,75,none,1,4,158,96 + 4,157,96
COSE371-01, 데이터베이스,정순영 COSE371-01,1,none,23,none,53,none,18,none,1,4,96,96 + 4,95,96
COSE371-02, 데이터베이스,정연돈 COSE371-02,0,none,29,none,58,none,15,none,3,4,105,96 + 4,102,96
COSE385-00, 신호및시스템,이재훈 COSE385-00,0,none,1,none,13,none,20,none,0,3,34,74 + 3,34,74
COSE389-00, 기업가정신과리더쉽,정찬영 COSE389-00,0,none,5,none,18,none,20,none,0,2,43,45 + 2,43,45
COSE412-00, 일반기업현장실습A,이숙윤 COSE412-00,0,none,0,none,1,none,3,none,0,0,4,60 + 0,4,60
COSE421-00, 임베디드시스템,인호 COSE421-00,0,none,1,none,7,none,15,none,1,1,24,39 + 1,23,39
COSE423-01, 볼록최적화입문,백승준 COSE423-01,0,none,1,none,26,none,35,none,0,4,62,83 + 4,62,83
COSE423-02, 볼록최적화입문,주창희 COSE423-02,0,none,0,none,9,none,22,none,0,4,31,96 + 4,31,96
COSE441-00, 인터넷프로토콜(영강),김효곤 COSE441-00,1,none,4,none,36,none,59,none,3,11,103,75 + 11,100,75
COSE461-01, 자연어처리,임희석 COSE461-01,0,none,0,none,15,none,50,none,0,3,65,70 + 3,65,70
COSE471-01, 데이터과학(영강),강재우 COSE471-01,1,none,3,none,38,none,66,none,5,11,113,75 + 11,108,75
COSE471-02, 데이터과학,이상근 COSE471-02,0,none,2,none,3,none,7,none,1,4,13,83 + 4,12,83
COSE485-00, 정보이론과추론학습,정원주 COSE485-00,0,none,1,none,19,none,41,none,1,4,62,96 + 4,61,96
COSE487-00, 졸업프로젝트(캡스톤디자인)Ⅰ,이숙윤 COSE487-00,0,none,0,none,8,none,34,none,0,0,42,60 + 0,42,60
